FunctionalLoc,resources_id,id
1800-1811-B2L2-P220-S227 S227 FILTER STORAGE TANK P220,6,121
1800-1811-B1H1-P220-S226 S226 WASTE LIQUID TANK P220,7,122
1800-1811-B2L2-P220-S226 S226 WASHING WATER TANK P220,6,123
1800-1811-B1H1-P220-S225 S225 TEMPORARY PRUDUCT STORAGE TANK P220,7,124
1800-1811-B2L2-P220-S225 S225 SLUDGE WATER TANK P220,6,125
1800-1811-B2L2-P220-S224 S224 COOLING WATER TANK P220,6,126
1800-1811-B1H1-P220-S224 S224 COOLING POND P220,7,127
1800-1811-B2L2-P220-S223 S223 COOLING WATER TANK P220,6,128
1800-1811-B1H1-P220-S223 S223 COOLING POND P220,7,129
1800-1811-B1H1-P220-S222 S222 COOLING POND P220,7,130
1800-1811-B2L2-P220-S222 S222 CLEANING WATER TANK P220,6,131
1800-1811-B1H1-P220-S221 S221 COOLING POND P220,7,132
1800-1811-B1H1-P210-S211-S211 S211 SODA ASH STORAGE TANK P210,7,133
1800-1811-B2L2-P210-S211 S211 EMERGENCY TANDON PACV P210,6,134
1800-1811-B1H1-P120-S121 S121 PROFIL TANK  P120,7,135
1800-1811-B1H1-P110-S113 S113 COOLING WATER TANK P110,7,136
1800-1811-B1H1-P110-S112 S112 WATER MEASURING TANK P110,7,137
1800-1811-B1H1-P110-S111 S111 LAD/LCB MEASURING TANK P110,7,138
1800-1811-B1H1-P210-R212 R212 REACTION POND P210,7,139
1800-1811-B2L2-P210-R213 R2113/R213 REACTOR PACV P210,6,140
1800-1811-B2L2-P210-R212 R2112/R212 REACTOR PACV P210,6,141
1800-1811-B2L2-P210-R211 R2111/R211 REACTOR PACV P210,6,142
1800-1811-B1H1-P210-R211 R211 REACTION POND P210,7,143
1800-1811-B1H1-P210-R210 R210 REACTION POND P210,7,144
1800-1811-B1H1-P210-R209 R209 REACTION POND P210,7,145
1800-1811-B1H1-P210-R208 R208 REACTION POND P210,7,146
1800-1811-B1H1-P210-R207 R207 REACTION POND P210,7,147
1800-1811-B1H1-P210-R206 R206 REACTION POND P210,7,148
1800-1811-B1H1-P210-R205 R205 REACTION POND P210,7,149
